frame,seconds,leftfemurX,leftfemurY,leftfemurZ,rightfemurX,rightfemurY,rightfemurZ,waistX,waistY,waistZ,upperspineX,upperspineY,upperspineZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,neckX,neckY,neckZ,headbaseX,headbaseY,headbaseZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ
10,0.333,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.1,130.96,0.18,-0.63,149.36,18.9,-0.64,166.27,27.59,11.8,138.6,18.34,27.09,163.06,-18.01,-0.92,166.47,-23.41,-0.67,135.38,-7.45,25.08,135.36,0.51,-1.65,171.76,0.58,-1.83,177.67,0.38,15.34,188.49,0.74,3.45,209.77
11,0.367,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.11,130.96,0.19,-0.69,149.36,18.91,-0.68,166.25,28.17,12.88,139.3,19.36,25.45,165.42,-17.99,-1.12,166.47,-23.4,-0.75,135.38,-7.53,25.06,135.47,0.54,-1.8,171.76,0.6,-2.01,177.66,0.38,15.16,188.51,0.77,3.23,209.78
12,0.4,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.1,130.96,0.19,-0.67,149.36,18.91,-0.65,166.24,28.22,12.53,139.13,20.12,25.31,165.38,-17.99,-1.09,166.47,-23.38,-0.74,135.38,-7.52,25.08,135.46,0.54,-1.77,171.76,0.6,-1.97,177.66,0.37,15.2,188.5,0.76,3.29,209.77
13,0.433,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.09,130.96,0.19,-0.64,149.36,18.91,-0.62,166.24,28.26,12.19,138.96,20.86,25.13,165.34,-17.99,-1.06,166.46,-23.36,-0.73,135.37,-7.52,25.1,135.44,0.53,-1.73,171.76,0.6,-1.92,177.66,0.36,15.25,188.49,0.74,3.36,209.77
14,0.467,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.08,130.96,0.19,-0.62,149.36,18.9,-0.58,166.24,28.25,11.89,138.8,21.44,24.95,165.28,-17.99,-1.02,166.46,-23.35,-0.72,135.36,-7.51,25.11,135.42,0.53,-1.69,171.76,0.59,-1.88,177.66,0.35,15.31,188.48,0.72,3.43,209.77
15,0.5,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.06,130.96,0.19,-0.59,149.36,18.89,-0.53,166.24,28.14,11.58,138.61,21.84,24.72,165.18,-18,-0.98,166.45,-23.33,-0.71,135.34,-7.51,25.13,135.39,0.52,-1.64,171.76,0.58,-1.83,177.67,0.32,15.37,188.46,0.69,3.51,209.76
16,0.533,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.05,130.96,0.18,-0.55,149.36,18.89,-0.48,166.24,27.99,11.31,138.42,22.09,24.49,165.06,-18.01,-0.93,166.44,-23.31,-0.7,135.33,-7.5,25.15,135.36,0.51,-1.58,171.76,0.57,-1.76,177.67,0.31,15.45,188.44,0.67,3.62,209.76
17,0.567,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.04,-0.03,130.96,0.18,-0.53,149.36,18.88,-0.44,166.24,27.89,11.25,138.35,22.08,24.45,164.99,-18.01,-0.9,166.43,-23.3,-0.69,135.32,-7.5,25.17,135.34,0.51,-1.53,171.77,0.56,-1.71,177.67,0.29,15.51,188.43,0.64,3.7,209.76
18,0.6,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,-0.02,130.96,0.18,-0.51,149.37,18.87,-0.41,166.24,27.89,11.42,138.4,21.86,24.61,165,-18.01,-0.87,166.43,-23.28,-0.69,135.31,-7.5,25.18,135.32,0.5,-1.5,171.77,0.55,-1.67,177.67,0.27,15.55,188.42,0.62,3.75,209.76
19,0.633,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.04,-0.01,130.96,0.19,-0.47,149.37,18.88,-0.35,166.23,27.92,11.75,138.53,21.46,24.94,165.02,-18.01,-0.82,166.42,-23.26,-0.67,135.31,-7.49,25.2,135.29,0.51,-1.44,171.77,0.56,-1.6,177.67,0.27,15.63,188.4,0.62,3.86,209.75
20,0.667,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0,130.96,0.18,-0.45,149.37,18.86,-0.33,166.24,27.95,12.11,138.69,20.98,25.25,165.09,-18.02,-0.8,166.41,-23.24,-0.67,135.29,-7.49,25.21,135.27,0.49,-1.42,171.77,0.54,-1.57,177.67,0.25,15.67,188.4,0.58,3.9,209.75
21,0.7,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.01,130.96,0.18,-0.43,149.37,18.86,-0.28,166.24,27.97,12.44,138.83,20.56,25.53,165.14,-18.02,-0.76,166.41,-23.22,-0.67,135.28,-7.48,25.22,135.24,0.49,-1.37,171.77,0.53,-1.52,177.67,0.23,15.73,188.38,0.55,3.98,209.75
22,0.733,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.03,130.96,0.18,-0.39,149.37,18.86,-0.22,166.23,27.98,12.61,138.89,20.33,25.66,165.14,-18.02,-0.7,166.4,-23.21,-0.65,135.27,-7.47,25.24,135.21,0.49,-1.3,171.77,0.53,-1.45,177.68,0.22,15.81,188.36,0.54,4.09,209.74
23,0.767,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.04,130.96,0.18,-0.37,149.37,18.85,-0.19,166.23,28,12.51,138.83,20.4,25.55,165.1,-18.02,-0.67,166.39,-23.19,-0.64,135.26,-7.47,25.26,135.19,0.48,-1.27,171.77,0.52,-1.41,177.68,0.21,15.86,188.35,0.52,4.15,209.74
24,0.8,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.05,130.96,0.17,-0.35,149.37,18.84,-0.16,166.23,28.02,12.2,138.69,20.7,25.24,165.04,-18.03,-0.65,166.38,-23.17,-0.65,135.25,-7.46,25.26,135.17,0.47,-1.24,171.77,0.5,-1.38,177.68,0.18,15.9,188.34,0.48,4.2,209.74
25,0.833,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.06,130.96,0.17,-0.33,149.37,18.84,-0.14,166.23,28.02,11.81,138.5,21.09,24.86,164.95,-18.03,-0.63,166.38,-23.16,-0.64,135.24,-7.46,25.27,135.15,0.47,-1.21,171.77,0.5,-1.35,177.68,0.17,15.94,188.33,0.47,4.26,209.73
26,0.867,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.07,130.96,0.17,-0.31,149.37,18.83,-0.1,166.23,28.02,11.47,138.35,21.41,24.51,164.88,-18.03,-0.59,166.37,-23.14,-0.64,135.23,-7.45,25.28,135.13,0.46,-1.17,171.77,0.49,-1.3,177.68,0.16,15.99,188.32,0.45,4.32,209.73
27,0.9,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.08,130.96,0.17,-0.29,149.37,18.83,-0.08,166.23,28.02,11.28,138.26,21.56,24.31,164.83,-18.04,-0.57,166.36,-23.12,-0.64,135.22,-7.45,25.29,135.11,0.46,-1.15,171.78,0.49,-1.27,177.68,0.14,16.02,188.31,0.43,4.37,209.73
28,0.933,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.09,130.96,0.17,-0.27,149.37,18.82,-0.05,166.23,28.04,11.26,138.25,21.5,24.29,164.81,-18.04,-0.55,166.36,-23.1,-0.64,135.21,-7.44,25.3,135.09,0.45,-1.12,171.78,0.48,-1.24,177.68,0.13,16.06,188.3,0.4,4.42,209.73
29,0.967,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.1,130.96,0.17,-0.26,149.37,18.82,-0.03,166.23,28.06,11.38,138.29,21.3,24.4,164.8,-18.04,-0.53,166.35,-23.09,-0.64,135.2,-7.44,25.3,135.07,0.45,-1.1,171.78,0.47,-1.22,177.68,0.11,16.09,188.3,0.38,4.45,209.72
30,1,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.1,130.96,0.17,-0.25,149.37,18.81,-0.01,166.22,28.09,11.54,138.36,21.04,24.54,164.81,-18.05,-0.52,166.34,-23.07,-0.64,135.19,-7.43,25.31,135.06,0.44,-1.08,171.78,0.47,-1.2,177.68,0.1,16.11,188.29,0.36,4.49,209.72
31,1.033,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.1,130.96,0.17,-0.24,149.37,18.81,0,166.22,28.1,11.65,138.41,20.87,24.64,164.81,-18.05,-0.51,166.33,-23.05,-0.65,135.18,-7.42,25.31,135.05,0.44,-1.07,171.78,0.46,-1.18,177.68,0.08,16.13,188.29,0.34,4.51,209.72
32,1.067,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.17,-0.24,149.37,18.8,0.01,166.22,28.1,11.69,138.42,20.8,24.67,164.8,-18.05,-0.51,166.33,-23.04,-0.65,135.17,-7.42,25.31,135.04,0.43,-1.06,171.78,0.45,-1.17,177.68,0.07,16.14,188.28,0.31,4.52,209.72
33,1.1,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.17,-0.24,149.37,18.8,0.01,166.22,28.09,11.69,138.42,20.81,24.68,164.8,-18.05,-0.51,166.32,-23.02,-0.66,135.16,-7.41,25.31,135.04,0.43,-1.06,171.78,0.44,-1.17,177.68,0.06,16.14,188.28,0.3,4.53,209.72
34,1.133,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.79,0.01,166.22,28.07,11.7,138.41,20.81,24.69,164.81,-18.06,-0.51,166.31,-23.01,-0.67,135.15,-7.41,25.31,135.03,0.42,-1.06,171.78,0.44,-1.17,177.68,0.03,16.14,188.28,0.27,4.53,209.72
35,1.167,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.79,0.01,166.22,28.06,11.7,138.41,20.83,24.69,164.81,-18.06,-0.51,166.31,-22.99,-0.67,135.14,-7.4,25.31,135.02,0.42,-1.06,171.78,0.43,-1.17,177.68,0.01,16.14,188.28,0.25,4.53,209.72
36,1.2,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.78,0.02,166.22,28.05,11.71,138.41,20.83,24.69,164.82,-18.06,-0.51,166.3,-22.97,-0.68,135.13,-7.39,25.3,135.02,0.41,-1.05,171.78,0.42,-1.17,177.68,-0.02,16.15,188.27,0.21,4.56,209.71
37,1.233,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.78,0.02,166.22,28.05,11.71,138.41,20.84,24.69,164.82,-18.06,-0.52,166.29,-22.96,-0.69,135.12,-7.38,25.3,135.02,0.41,-1.05,171.78,0.42,-1.17,177.68,-0.04,16.16,188.26,0.19,4.57,209.71
38,1.267,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.77,0.02,166.21,28.04,11.71,138.4,20.84,24.69,164.82,-18.06,-0.52,166.29,-22.94,-0.69,135.11,-7.38,25.3,135.01,0.41,-1.05,171.78,0.41,-1.17,177.68,-0.05,16.16,188.26,0.17,4.57,209.71
39,1.3,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.77,0.02,166.21,28.02,11.7,138.4,20.84,24.69,164.81,-18.07,-0.52,166.28,-22.93,-0.69,135.1,-7.37,25.3,135.01,0.4,-1.05,171.78,0.4,-1.17,177.68,-0.05,16.16,188.27,0.16,4.56,209.71
40,1.333,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.11,130.96,0.16,-0.24,149.37,18.76,0.02,166.21,28,11.69,138.39,20.82,24.69,164.8,-18.07,-0.52,166.27,-22.91,-0.7,135.09,-7.36,25.3,135.01,0.4,-1.05,171.78,0.4,-1.17,177.68,-0.04,16.15,188.27,0.16,4.55,209.72
41,1.367,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.1,130.96,0.15,-0.23,149.37,18.75,0.06,166.22,27.89,11.6,138.31,20.61,24.76,164.62,-18.08,-0.51,166.26,-22.9,-0.71,135.07,-7.36,25.3,134.98,0.38,-1.03,171.78,0.38,-1.14,177.68,-0.03,16.18,188.27,0.14,4.58,209.72
42,1.4,-12.77,-0.14,113.94,12.77,-0.14,113.89,0.03,0.1,130.96,0.14,-0.22,149.37,18.72,0.17,166.25,27.6,11.32,138.1,20,24.92,164.09,-18.11,-0.49,166.24,-22.88,-0.76,135.04,-7.38,25.28,134.94,0.35,-0.98,171.78,0.34,-1.09,177.69,-0.07,16.25,188.26,0.08,4.67,209.71
43,1.433,-12.77,-0.14,113.93,12.77,-0.14,113.89,0.03,0.09,130.96,0.13,-0.2,149.37,18.67,0.33,166.29,27.17,10.86,137.78,19.05,25.12,163.25,-18.15,-0.46,166.21,-22.86,-0.81,135.01,-7.4,25.25,134.86,0.3,-0.9,171.78,0.28,-0.99,177.69,-0.12,16.36,188.23,-0.01,4.81,209.71
44,1.467,-12.77,-0.14,113.93,12.77,-0.14,113.9,0.02,0.08,130.96,0.11,-0.18,149.37,18.62,0.54,166.34,26.65,10.21,137.39,17.83,25.28,162.15,-18.2,-0.42,166.17,-22.84,-0.89,134.96,-7.44,25.21,134.76,0.24,-0.8,171.79,0.21,-0.88,177.69,-0.2,16.5,188.19,-0.13,5.01,209.69
45,1.5,-12.77,-0.14,113.93,12.77,-0.14,113.9,0.02,0.07,130.96,0.08,-0.16,149.37,18.55,0.79,166.4,26.11,9.37,136.98,16.41,25.33,160.84,-18.26,-0.38,166.13,-22.82,-0.97,134.91,-7.49,25.16,134.65,0.17,-0.69,171.79,0.13,-0.75,177.7,-0.29,16.66,188.14,-0.26,5.22,209.68
46,1.533,-12.77,-0.14,113.93,12.77,-0.14,113.9,0.02,0.06,130.96,0.06,-0.12,149.37,18.48,1.06,166.46,25.61,8.31,136.58,14.91,25.19,159.35,-18.32,-0.3,166.09,-22.79,-1.05,134.85,-7.52,25.12,134.51,0.09,-0.55,171.79,0.04,-0.58,177.7,-0.38,16.87,188.08,-0.39,5.52,209.66
47,1.567,-12.77,-0.14,113.92,12.77,-0.14,113.91,0.01,0.05,130.96,0.03,-0.1,149.37,18.4,1.35,166.53,25.15,7.12,136.25,13.34,24.86,157.79,-18.4,-0.28,166.03,-22.77,-1.17,134.79,-7.59,25.05,134.39,0,-0.43,171.79,-0.07,-0.44,177.7,-0.51,17.03,188.03,-0.57,5.74,209.64
48,1.6,-12.77,-0.14,113.92,12.77,-0.14,113.91,0,0.03,130.96,0,-0.07,149.37,18.31,1.64,166.59,24.81,5.81,136,11.84,24.3,156.19,-18.47,-0.22,165.98,-22.74,-1.27,134.73,-7.64,25,134.25,-0.09,-0.3,171.8,-0.17,-0.28,177.7,-0.62,17.23,187.97,-0.73,6.02,209.62
49,1.633,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.05,-0.03,149.37,18.2,1.93,166.66,24.6,4.47,135.86,10.45,23.57,154.65,-18.56,-0.16,165.93,-22.73,-1.36,134.67,-7.71,24.95,134.12,-0.2,-0.16,171.8,-0.3,-0.12,177.7,-0.76,17.43,187.92,-0.92,6.28,209.6
50,1.667,-12.77,-0.14,113.9,12.77,-0.14,113.92,-0.01,0.02,130.96,-0.08,0,149.37,18.12,2.21,166.72,24.5,3.17,135.83,9.24,22.71,153.24,-18.63,-0.11,165.88,-22.71,-1.45,134.62,-7.76,24.9,134,-0.28,-0.03,171.8,-0.39,0.03,177.7,-0.88,17.61,187.86,-1.08,6.54,209.58
51,1.7,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.04,2.44,166.77,24.5,1.98,135.88,8.25,21.81,152.03,-18.69,-0.07,165.84,-22.69,-1.53,134.57,-7.8,24.86,133.9,-0.36,0.08,171.8,-0.48,0.16,177.7,-0.97,17.77,187.81,-1.22,6.75,209.56
52,1.733,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.03,2.43,166.76,24.4,2.2,135.85,8.04,21.64,152.36,-18.69,-0.07,165.83,-22.67,-1.52,134.56,-7.79,24.87,133.9,-0.36,0.08,171.8,-0.49,0.16,177.7,-0.98,17.77,187.81,-1.23,6.75,209.56
53,1.767,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.03,2.41,166.75,24.29,2.45,135.82,7.8,21.44,152.72,-18.69,-0.07,165.83,-22.66,-1.5,134.55,-7.77,24.88,133.92,-0.36,0.08,171.8,-0.49,0.16,177.7,-0.98,17.77,187.81,-1.24,6.75,209.56
54,1.8,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.03,2.4,166.75,24.18,2.71,135.79,7.58,21.23,153.09,-18.7,-0.07,165.82,-22.65,-1.48,134.55,-7.75,24.89,133.92,-0.37,0.08,171.8,-0.49,0.16,177.7,-0.99,17.77,187.81,-1.25,6.75,209.56
55,1.833,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.03,2.38,166.74,24.08,2.93,135.77,7.38,21.04,153.42,-18.7,-0.06,165.82,-22.64,-1.47,134.54,-7.73,24.9,133.94,-0.37,0.08,171.8,-0.5,0.16,177.7,-0.99,17.77,187.81,-1.26,6.75,209.56
56,1.867,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.02,2.37,166.73,24,3.1,135.76,7.25,20.9,153.66,-18.7,-0.06,165.82,-22.62,-1.36,134.53,-7.68,25,134.02,-0.37,0.08,171.8,-0.5,0.16,177.7,-1,17.77,187.81,-1.27,6.75,209.56
57,1.9,-12.77,-0.15,113.9,12.77,-0.14,113.93,-0.02,0,130.96,-0.11,0.02,149.37,18.02,2.37,166.73,23.96,3.18,135.75,7.18,20.83,153.77,-18.7,-0.06,165.81,-22.49,-0.49,134.49,-7.32,25.73,134.72,-0.37,0.08,171.8,-0.5,0.16,177.7,-1,17.77,187.81,-1.28,6.75,209.56
58,1.933,-12.77,-0.15,113.91,12.77,-0.14,113.92,-0.01,0,130.96,-0.08,0.02,149.37,18.07,2.34,166.71,23.96,3.24,135.72,7.18,20.87,153.76,-18.66,-0.05,165.83,-22.26,1.12,134.5,-6.65,27.04,136.06,-0.33,0.08,171.8,-0.45,0.16,177.7,-0.93,17.76,187.81,-1.2,6.74,209.56
59,1.967,-12.77,-0.15,113.91,12.77,-0.14,113.92,-0.01,0,130.96,-0.08,0.05,149.37,18.1,2.29,166.68,23.89,3.95,135.7,6.74,21.31,153.66,-18.64,0.04,165.84,-21.96,3.32,134.63,-5.79,28.73,137.93,-0.3,0.14,171.8,-0.43,0.23,177.7,-0.9,17.85,187.79,-1.16,6.85,209.55
60,2,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.02,130.96,-0.07,0.12,149.37,18.15,2.25,166.62,23.72,5.26,135.71,5.94,22.16,153.5,-18.6,0.26,165.86,-21.6,5.96,134.97,-4.81,30.63,140.21,-0.26,0.32,171.8,-0.38,0.43,177.7,-0.86,18.07,187.74,-1.09,7.14,209.53
61,2.033,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.04,0.19,149.37,18.22,2.16,166.55,23.46,6.97,135.8,4.89,23.24,153.36,-18.54,0.51,165.9,-21.19,8.8,135.56,-3.79,32.52,142.82,-0.19,0.52,171.79,-0.29,0.66,177.7,-0.77,18.33,187.69,-0.98,7.47,209.51
62,2.067,-12.77,-0.14,113.91,12.77,-0.13,113.91,0,0.05,130.96,-0.01,0.29,149.37,18.32,2.07,166.46,23.09,8.89,136.02,3.7,24.45,153.32,-18.47,0.82,165.94,-20.76,11.64,136.38,-2.82,34.26,145.57,-0.1,0.77,171.79,-0.19,0.94,177.69,-0.67,18.65,187.62,-0.83,7.86,209.48
63,2.1,-12.77,-0.14,113.92,12.77,-0.13,113.91,0.01,0.06,130.96,0.02,0.38,149.37,18.41,1.99,166.37,22.65,10.8,136.37,2.49,25.68,153.4,-18.39,1.13,165.98,-20.35,14.27,137.35,-1.96,35.74,148.24,-0.01,1.02,171.79,-0.09,1.22,177.69,-0.56,18.97,187.54,-0.67,8.27,209.45
64,2.133,-12.77,-0.14,113.92,12.77,-0.13,113.9,0.01,0.08,130.96,0.06,0.48,149.37,18.49,1.92,166.29,22.19,12.52,136.8,1.39,26.8,153.58,-18.31,1.45,166.01,-19.99,16.5,138.33,-1.26,36.91,150.6,0.09,1.28,171.78,0.02,1.51,177.68,-0.45,19.3,187.46,-0.51,8.68,209.42
65,2.167,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.09,130.96,0.08,0.57,149.37,18.57,1.87,166.22,21.79,13.86,137.2,0.54,27.7,153.78,-18.24,1.74,166.05,-19.7,18.19,139.15,-0.73,37.73,152.42,0.17,1.5,171.77,0.12,1.77,177.67,-0.34,19.59,187.39,-0.36,9.05,209.38
66,2.2,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.1,130.96,0.11,0.64,149.36,18.62,1.86,166.17,21.55,14.65,137.46,0.05,28.27,153.9,-18.18,1.97,166.07,-19.51,19.19,139.66,-0.38,38.21,153.45,0.24,1.69,171.76,0.19,1.97,177.66,-0.27,19.82,187.33,-0.26,9.35,209.35
67,2.233,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.11,130.96,0.12,0.67,149.36,18.65,1.89,166.14,21.54,14.77,137.48,0.03,28.42,153.88,-18.15,2.09,166.08,-19.48,19.4,139.72,-0.31,38.33,153.59,0.27,1.79,171.76,0.23,2.08,177.66,-0.24,19.95,187.3,-0.2,9.52,209.33
68,2.267,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.11,130.96,0.12,0.68,149.36,18.65,1.91,166.14,21.89,14.58,137.42,0.62,28.56,153.85,-18.15,2.11,166.08,-19.94,19.05,139.51,-1.02,38.17,153.45,0.27,1.81,171.76,0.23,2.11,177.66,-0.25,19.99,187.27,-0.21,9.6,209.32
69,2.3,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.11,130.96,0.12,0.7,149.36,18.65,1.94,166.14,22.64,14.12,137.3,1.89,28.81,153.78,-18.15,2.15,166.07,-20.94,18.25,139.08,-2.53,37.76,153.16,0.27,1.85,171.76,0.23,2.16,177.66,-0.26,20.06,187.23,-0.22,9.71,209.31
70,2.333,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.11,130.96,0.12,0.71,149.36,18.65,1.97,166.14,23.74,13.35,137.15,3.83,29.06,153.72,-18.15,2.17,166.07,-22.4,16.9,138.49,-4.81,36.99,152.81,0.27,1.88,171.76,0.23,2.2,177.65,-0.28,20.13,187.19,-0.23,9.82,209.29
71,2.367,-12.77,-0.14,113.93,12.77,-0.13,113.9,0.02,0.12,130.96,0.12,0.74,149.36,18.65,2.03,166.13,25.09,12.2,136.96,6.38,29.21,153.65,-18.15,2.23,166.07,-24.17,14.94,137.82,-7.68,35.74,152.43,0.27,1.95,171.75,0.23,2.29,177.65,-0.31,20.24,187.13,-0.24,10,209.26
