"frame","seconds","leftfemurX","leftfemurY","leftfemurZ","rightfemurX","rightfemurY","rightfemurZ","waistX","waistY","waistZ","upperspineX","upperspineY","upperspineZ","rightshoulderX","rightshoulderY","rightshoulderZ","rightelbowX","rightelbowY","rightelbowZ","rightwristX","rightwristY","rightwristZ","leftshoulderX","leftshoulderY","leftshoulderZ","leftelbowX","leftelbowY","leftelbowZ","leftwristX","leftwristY","leftwristZ","neckX","neckY","neckZ","headbaseX","headbaseY","headbaseZ","sphnosetipX","sphnosetipY","sphnosetipZ","sphheadtopX","sphheadtopY","sphheadtopZ"
10,0.333,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.04,0.06,149.37,18.47,2.04,167.37,23.24,14.61,138.82,10.00,35.42,156.41,-18.56,0.04,166.12,-23.33,-1.42,134.96,-8.17,24.79,133.95,-0.14,0.17,171.80,-0.22,0.25,177.70,-0.09,17.87,187.79,-0.78,6.90,209.55
11,0.367,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.06,0.07,149.37,18.42,2.27,167.46,23.25,16.28,139.60,10.32,35.61,159.01,-18.61,-0.05,166.09,-23.30,-1.57,134.93,-8.32,24.74,133.91,-0.19,0.20,171.80,-0.28,0.30,177.70,-0.14,17.95,187.74,-0.93,7.04,209.53
12,0.400,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.06,0.08,149.37,18.41,2.39,167.54,23.35,17.79,140.44,10.84,35.55,161.56,-18.62,-0.09,166.08,-23.28,-1.63,134.91,-8.37,24.73,133.90,-0.21,0.21,171.80,-0.30,0.32,177.70,-0.24,17.98,187.71,-0.97,7.10,209.52
13,0.433,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.02,0.01,130.96,-0.08,0.09,149.37,18.39,2.40,167.59,23.48,18.44,140.90,11.25,35.60,162.68,-18.64,-0.01,166.06,-23.27,-1.56,134.88,-8.29,24.76,133.87,-0.24,0.24,171.80,-0.34,0.35,177.70,-0.26,18.04,187.68,-1.02,7.20,209.51
14,0.467,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.02,0.01,130.96,-0.08,0.09,149.37,18.36,2.35,167.61,23.54,18.36,140.91,11.37,35.97,162.35,-18.67,0.07,166.03,-23.25,-1.49,134.85,-8.18,24.78,133.85,-0.28,0.26,171.80,-0.38,0.38,177.70,-0.29,18.08,187.65,-1.08,7.27,209.49
15,0.500,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.02,0.01,130.96,-0.10,0.10,149.37,18.34,2.30,167.62,23.59,18.28,140.92,11.49,36.36,162.01,-18.69,0.14,166.01,-23.24,-1.41,134.82,-8.08,24.81,133.83,-0.30,0.27,171.80,-0.41,0.40,177.70,-0.30,18.11,187.62,-1.11,7.34,209.48
16,0.533,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.11,0.11,149.37,18.32,2.26,167.63,23.62,18.21,140.92,11.60,36.73,161.67,-18.72,0.21,165.99,-23.22,-1.34,134.80,-8.00,24.84,133.81,-0.33,0.29,171.80,-0.45,0.42,177.70,-0.30,18.16,187.58,-1.14,7.44,209.47
17,0.567,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.12,0.12,149.37,18.29,2.22,167.65,23.67,18.13,140.93,11.71,37.05,161.36,-18.75,0.28,165.96,-23.20,-1.28,134.76,-7.91,24.86,133.78,-0.38,0.32,171.79,-0.50,0.46,177.70,-0.35,18.20,187.56,-1.22,7.51,209.46
18,0.600,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.12,0.12,149.37,18.28,2.18,167.65,23.70,18.08,140.93,11.81,37.30,161.11,-18.77,0.33,165.95,-23.18,-1.23,134.74,-7.84,24.88,133.76,-0.39,0.33,171.79,-0.52,0.47,177.70,-0.36,18.24,187.53,-1.24,7.58,209.45
19,0.633,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.13,0.13,149.37,18.26,2.16,167.66,23.72,18.03,140.93,11.88,37.49,160.92,-18.78,0.38,165.93,-23.17,-1.19,134.72,-7.78,24.89,133.75,-0.42,0.34,171.79,-0.55,0.49,177.70,-0.38,18.27,187.52,-1.28,7.63,209.44
20,0.667,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.13,0.12,149.37,18.26,2.14,167.66,23.72,18.01,140.93,11.92,37.51,160.89,-18.78,0.39,165.92,-23.15,-1.17,134.71,-7.75,24.90,133.74,-0.42,0.34,171.79,-0.55,0.49,177.70,-0.38,18.27,187.50,-1.27,7.66,209.43
21,0.700,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.12,149.37,18.25,2.16,167.66,23.70,18.02,140.93,11.90,37.43,160.98,-18.79,0.38,165.91,-23.13,-1.19,134.70,-7.75,24.90,133.73,-0.43,0.34,171.79,-0.56,0.50,177.70,-0.40,18.28,187.49,-1.30,7.67,209.43
22,0.733,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.12,149.37,18.25,2.16,167.66,23.69,18.03,140.92,11.88,37.40,161.01,-18.79,0.37,165.91,-23.11,-1.21,134.69,-7.75,24.89,133.72,-0.43,0.35,171.79,-0.57,0.50,177.70,-0.42,18.28,187.50,-1.34,7.66,209.43
23,0.767,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.12,149.37,18.24,2.16,167.65,23.67,18.03,140.92,11.89,37.41,161.01,-18.79,0.37,165.90,-23.09,-1.21,134.68,-7.74,24.89,133.71,-0.43,0.35,171.79,-0.57,0.50,177.70,-0.43,18.28,187.50,-1.35,7.66,209.43
24,0.800,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.13,149.37,18.23,2.17,167.65,23.65,18.04,140.92,11.88,37.44,161.00,-18.80,0.37,165.89,-23.07,-1.22,134.66,-7.73,24.89,133.71,-0.45,0.35,171.79,-0.59,0.50,177.70,-0.47,18.29,187.49,-1.40,7.68,209.42
25,0.833,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.13,149.37,18.23,2.17,167.65,23.63,18.04,140.92,11.88,37.47,160.98,-18.80,0.37,165.88,-23.05,-1.23,134.66,-7.72,24.89,133.70,-0.45,0.35,171.79,-0.59,0.50,177.70,-0.47,18.28,187.50,-1.40,7.67,209.43
26,0.867,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.13,149.37,18.22,2.18,167.65,23.61,18.05,140.91,11.87,37.49,160.97,-18.80,0.36,165.88,-23.03,-1.24,134.64,-7.72,24.89,133.69,-0.45,0.35,171.79,-0.60,0.51,177.70,-0.49,18.30,187.49,-1.43,7.69,209.42
27,0.900,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.13,149.37,18.22,2.18,167.65,23.60,18.05,140.91,11.88,37.49,160.97,-18.80,0.36,165.87,-23.01,-1.24,134.64,-7.71,24.89,133.69,-0.46,0.35,171.79,-0.61,0.51,177.70,-0.49,18.30,187.48,-1.45,7.70,209.42
28,0.933,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.13,149.37,18.21,2.18,167.65,23.60,18.04,140.90,11.88,37.46,160.99,-18.81,0.36,165.86,-23.00,-1.25,134.62,-7.70,24.89,133.68,-0.46,0.35,171.79,-0.62,0.51,177.70,-0.51,18.30,187.49,-1.48,7.69,209.42
29,0.967,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.13,149.37,18.21,2.16,167.64,23.67,17.98,140.88,11.94,37.27,161.08,-18.80,0.38,165.86,-22.98,-1.24,134.62,-7.67,24.89,133.67,-0.46,0.36,171.79,-0.61,0.52,177.70,-0.53,18.31,187.49,-1.48,7.69,209.42
30,1.000,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.02,130.96,-0.14,0.15,149.37,18.24,2.10,167.61,23.99,17.74,140.81,12.15,36.57,161.38,-18.79,0.47,165.86,-22.96,-1.19,134.62,-7.60,24.91,133.63,-0.45,0.42,171.79,-0.59,0.58,177.70,-0.53,18.36,187.49,-1.45,7.75,209.42
31,1.033,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.03,130.96,-0.13,0.18,149.37,18.26,2.01,167.57,24.52,17.35,140.71,12.49,35.39,161.87,-18.77,0.62,165.87,-22.95,-1.10,134.63,-7.49,24.94,133.57,-0.42,0.50,171.79,-0.57,0.67,177.69,-0.56,18.45,187.49,-1.41,7.83,209.43
32,1.067,-12.77,-0.14,113.90,12.77,-0.14,113.93,-0.02,0.03,130.96,-0.11,0.23,149.37,18.31,1.89,167.51,25.21,16.83,140.58,12.95,33.83,162.46,-18.73,0.81,165.88,-22.94,-0.98,134.66,-7.35,24.97,133.50,-0.38,0.62,171.79,-0.52,0.80,177.69,-0.57,18.59,187.49,-1.34,7.97,209.42
33,1.100,-12.77,-0.14,113.90,12.77,-0.14,113.92,-0.01,0.04,130.96,-0.10,0.28,149.37,18.35,1.76,167.45,26.01,16.23,140.47,13.45,31.99,163.10,-18.69,1.03,165.89,-22.94,-0.85,134.68,-7.19,25.01,133.42,-0.34,0.75,171.79,-0.47,0.94,177.69,-0.58,18.73,187.49,-1.25,8.10,209.42
34,1.133,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.05,130.96,-0.08,0.33,149.37,18.40,1.59,167.38,26.87,15.55,140.38,14.01,29.97,163.72,-18.65,1.27,165.91,-22.93,-0.70,134.70,-7.02,25.05,133.34,-0.29,0.89,171.79,-0.41,1.08,177.69,-0.59,18.87,187.49,-1.16,8.24,209.43
35,1.167,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.06,130.96,-0.07,0.37,149.37,18.43,1.45,167.32,27.69,14.91,140.33,14.50,27.95,164.28,-18.61,1.48,165.92,-22.92,-0.57,134.72,-6.86,25.08,133.26,-0.25,1.00,171.79,-0.36,1.21,177.69,-0.61,19.00,187.48,-1.08,8.37,209.42
36,1.200,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.00,0.07,130.96,-0.05,0.42,149.37,18.47,1.32,167.26,28.45,14.30,140.29,14.97,26.09,164.72,-18.57,1.69,165.93,-22.91,-0.44,134.75,-6.71,25.12,133.18,-0.21,1.13,171.78,-0.31,1.35,177.68,-0.62,19.13,187.49,-0.99,8.49,209.42
37,1.233,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.00,0.07,130.96,-0.04,0.46,149.37,18.50,1.21,167.22,29.05,13.78,140.27,15.34,24.55,165.05,-18.53,1.86,165.94,-22.90,-0.33,134.76,-6.58,25.15,133.13,-0.17,1.23,171.78,-0.27,1.45,177.68,-0.62,19.22,187.49,-0.92,8.58,209.43
38,1.267,-12.77,-0.14,113.91,12.77,-0.14,113.91,-0.00,0.08,130.96,-0.03,0.48,149.37,18.51,1.12,167.19,29.45,13.42,140.27,15.59,23.50,165.25,-18.51,1.98,165.94,-22.89,-0.25,134.77,-6.48,25.17,133.08,-0.15,1.29,171.78,-0.24,1.52,177.68,-0.62,19.29,187.50,-0.88,8.63,209.43
39,1.300,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.08,130.96,-0.03,0.49,149.37,18.51,1.11,167.18,29.59,13.31,140.27,15.67,23.13,165.32,-18.51,2.01,165.94,-22.87,-0.23,134.76,-6.46,25.18,133.07,-0.15,1.32,171.78,-0.24,1.55,177.68,-0.64,19.33,187.49,-0.88,8.68,209.42
40,1.333,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.08,130.96,-0.03,0.49,149.37,18.51,1.11,167.18,29.57,13.31,140.26,15.67,23.14,165.33,-18.51,2.01,165.93,-22.86,-0.24,134.75,-6.45,25.18,133.07,-0.15,1.32,171.78,-0.25,1.55,177.68,-0.65,19.33,187.48,-0.91,8.69,209.42
41,1.367,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.08,130.96,-0.03,0.49,149.37,18.50,1.11,167.17,29.58,13.22,140.21,15.71,23.15,165.26,-18.51,2.01,165.92,-22.84,-0.24,134.75,-6.44,25.19,133.07,-0.16,1.32,171.78,-0.25,1.56,177.68,-0.66,19.33,187.48,-0.92,8.69,209.42
42,1.400,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.08,130.96,-0.03,0.50,149.37,18.49,1.14,167.13,29.64,12.78,140.00,15.88,23.17,164.92,-18.51,2.03,165.92,-22.83,-0.24,134.74,-6.44,25.19,133.06,-0.16,1.35,171.78,-0.26,1.58,177.68,-0.67,19.37,187.47,-0.94,8.74,209.41
43,1.433,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.08,130.96,-0.03,0.51,149.37,18.47,1.17,167.06,29.74,11.98,139.64,16.19,23.11,164.35,-18.51,2.05,165.91,-22.82,-0.24,134.73,-6.43,25.19,133.05,-0.16,1.38,171.78,-0.26,1.62,177.68,-0.68,19.41,187.45,-0.95,8.81,209.40
44,1.467,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.09,130.96,-0.03,0.55,149.37,18.44,1.26,166.97,29.88,10.86,139.17,16.60,22.94,163.58,-18.52,2.12,165.90,-22.80,-0.24,134.72,-6.42,25.20,133.00,-0.17,1.46,171.77,-0.27,1.72,177.67,-0.69,19.53,187.41,-0.97,8.98,209.38
45,1.500,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.09,130.96,-0.03,0.56,149.37,18.41,1.31,166.86,30.01,9.51,138.68,17.06,22.64,162.72,-18.52,2.16,165.89,-22.79,-0.24,134.71,-6.42,25.20,132.97,-0.17,1.51,171.77,-0.27,1.78,177.67,-0.70,19.61,187.38,-0.99,9.09,209.37
46,1.533,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.09,130.96,-0.03,0.60,149.36,18.38,1.40,166.75,30.11,8.10,138.23,17.53,22.38,161.81,-18.52,2.24,165.88,-22.78,-0.23,134.71,-6.41,25.20,132.92,-0.17,1.60,171.77,-0.28,1.88,177.67,-0.71,19.73,187.33,-1.00,9.27,209.35
47,1.567,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.09,130.96,-0.03,0.61,149.36,18.34,1.45,166.65,30.14,6.83,137.88,17.95,22.28,160.91,-18.52,2.27,165.87,-22.78,-0.20,134.70,-6.43,25.25,132.97,-0.18,1.64,171.77,-0.28,1.93,177.66,-0.72,19.80,187.30,-1.02,9.36,209.34
48,1.600,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.10,130.96,-0.04,0.63,149.36,18.31,1.50,166.56,30.12,5.89,137.62,18.33,22.51,160.04,-18.53,2.31,165.86,-22.83,0.05,134.68,-6.55,25.57,133.37,-0.18,1.69,171.76,-0.29,1.99,177.66,-0.74,19.87,187.28,-1.04,9.46,209.32
49,1.633,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.10,130.96,-0.06,0.64,149.36,18.26,1.53,166.49,30.04,5.36,137.47,18.62,23.06,159.24,-18.56,2.32,165.85,-22.95,0.47,134.66,-6.81,26.10,134.12,-0.22,1.71,171.76,-0.33,2.01,177.66,-0.79,19.89,187.27,-1.10,9.49,209.32
50,1.667,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.10,130.96,-0.06,0.60,149.36,18.25,1.44,166.48,29.90,6.08,137.52,18.88,25.01,158.46,-18.56,2.23,165.85,-23.11,1.04,134.65,-7.15,26.79,135.25,-0.22,1.60,171.77,-0.34,1.89,177.67,-0.80,19.74,187.33,-1.12,9.27,209.35
51,1.700,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.09,130.96,-0.06,0.54,149.37,18.25,1.28,166.47,29.73,7.07,137.65,19.21,27.24,157.66,-18.56,2.12,165.86,-23.34,1.76,134.67,-7.57,27.56,136.66,-0.22,1.44,171.77,-0.34,1.69,177.67,-0.78,19.50,187.42,-1.12,8.94,209.39
52,1.733,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.08,130.96,-0.06,0.47,149.37,18.24,1.12,166.48,29.55,8.24,137.89,19.58,29.65,156.87,-18.56,1.99,165.87,-23.63,2.55,134.72,-8.11,28.33,138.28,-0.23,1.27,171.78,-0.35,1.50,177.68,-0.81,19.28,187.47,-1.15,8.66,209.41
53,1.767,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.06,130.96,-0.06,0.40,149.37,18.24,0.92,166.48,29.38,9.53,138.24,20.04,32.13,156.12,-18.56,1.84,165.88,-23.98,3.39,134.83,-8.74,29.05,140.06,-0.23,1.06,171.78,-0.35,1.27,177.69,-0.81,19.00,187.57,-1.15,8.26,209.46
54,1.800,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.05,130.96,-0.06,0.31,149.37,18.24,0.71,166.49,29.20,10.87,138.70,20.56,34.62,155.41,-18.56,1.70,165.88,-24.36,4.24,134.97,-9.42,29.66,141.91,-0.23,0.85,171.79,-0.35,1.02,177.69,-0.80,18.71,187.66,-1.16,7.86,209.50
55,1.833,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.04,130.96,-0.06,0.25,149.37,18.24,0.56,166.50,29.02,12.28,139.26,21.11,37.11,154.72,-18.57,1.56,165.89,-24.80,5.05,135.15,-10.19,30.15,143.76,-0.23,0.69,171.79,-0.36,0.83,177.69,-0.80,18.47,187.74,-1.17,7.54,209.53
56,1.867,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.03,130.96,-0.06,0.20,149.37,18.24,0.44,166.51,28.83,13.69,139.90,21.68,39.51,154.05,-18.57,1.43,165.90,-25.29,5.75,135.37,-11.01,30.47,145.52,-0.24,0.54,171.79,-0.36,0.66,177.70,-0.81,18.27,187.80,-1.18,7.26,209.55
57,1.900,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.06,0.16,149.37,18.24,0.40,166.51,28.60,15.08,140.57,22.21,41.80,153.35,-18.57,1.32,165.90,-25.76,6.34,135.59,-11.84,30.66,147.11,-0.24,0.44,171.79,-0.36,0.55,177.70,-0.83,18.14,187.84,-1.19,7.08,209.57
58,1.933,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.06,0.15,149.37,18.23,0.42,166.51,28.37,16.39,141.26,22.72,43.91,152.60,-18.58,1.22,165.90,-26.22,6.78,135.79,-12.65,30.72,148.47,-0.24,0.40,171.80,-0.37,0.50,177.70,-0.85,18.08,187.85,-1.21,7.01,209.57
59,1.967,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.06,0.15,149.37,18.23,0.49,166.51,28.61,16.19,141.18,22.23,42.88,154.02,-18.58,1.16,165.90,-26.19,6.84,135.80,-12.55,30.66,148.63,-0.24,0.41,171.79,-0.37,0.51,177.70,-0.88,18.10,187.83,-1.23,7.06,209.56
60,2.000,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.06,0.16,149.37,18.23,0.61,166.51,28.95,15.92,141.08,21.83,41.51,155.67,-18.59,1.11,165.89,-26.16,6.87,135.80,-12.45,30.60,148.74,-0.25,0.45,171.79,-0.37,0.56,177.70,-0.92,18.18,187.79,-1.25,7.18,209.55
61,2.033,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.03,130.96,-0.06,0.20,149.37,18.22,0.79,166.50,29.27,15.70,140.97,21.40,40.04,157.20,-18.60,1.07,165.89,-26.13,6.87,135.80,-12.40,30.54,148.80,-0.25,0.53,171.79,-0.38,0.67,177.70,-0.97,18.31,187.73,-1.28,7.38,209.52
62,2.067,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.04,130.96,-0.06,0.24,149.37,18.21,1.01,166.49,29.48,15.52,140.84,20.79,38.62,158.42,-18.60,1.03,165.88,-26.11,6.82,135.78,-12.36,30.47,148.82,-0.25,0.65,171.79,-0.39,0.80,177.69,-1.01,18.49,187.65,-1.31,7.66,209.49
63,2.100,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.05,130.96,-0.06,0.29,149.37,18.21,1.29,166.49,29.49,15.45,140.65,19.83,37.40,159.16,-18.61,0.97,165.88,-26.11,6.69,135.76,-12.37,30.36,148.77,-0.26,0.77,171.79,-0.39,0.95,177.69,-1.07,18.68,187.57,-1.34,7.95,209.46
64,2.133,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.05,130.96,-0.06,0.34,149.37,18.20,1.59,166.49,29.26,15.43,140.38,18.46,36.51,159.28,-18.61,0.92,165.88,-26.11,6.50,135.74,-12.36,30.23,148.63,-0.26,0.91,171.79,-0.39,1.11,177.69,-1.12,18.88,187.49,-1.37,8.23,209.43
65,2.167,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.07,130.96,-0.07,0.40,149.37,18.19,1.97,166.49,28.69,15.55,140.01,16.46,36.03,158.70,-18.62,0.83,165.89,-26.14,6.19,135.71,-12.39,30.03,148.37,-0.26,1.06,171.78,-0.40,1.29,177.68,-1.18,19.11,187.39,-1.41,8.58,209.38
66,2.200,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.07,130.96,-0.07,0.45,149.37,18.17,2.35,166.49,27.88,15.65,139.57,14.01,35.68,157.59,-18.62,0.71,165.90,-26.17,5.79,135.68,-12.42,29.79,148.04,-0.27,1.19,171.78,-0.41,1.44,177.68,-1.24,19.31,187.30,-1.44,8.88,209.34
67,2.233,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.08,130.96,-0.07,0.49,149.37,18.15,2.74,166.50,26.95,15.67,139.09,11.33,35.26,156.14,-18.63,0.58,165.91,-26.21,5.37,135.65,-12.43,29.52,147.68,-0.28,1.32,171.78,-0.42,1.59,177.68,-1.29,19.49,187.22,-1.48,9.16,209.31
68,2.267,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.09,130.96,-0.07,0.54,149.37,18.12,3.12,166.50,26.01,15.60,138.61,8.66,34.64,154.57,-18.62,0.46,165.93,-26.23,4.94,135.63,-12.42,29.26,147.28,-0.28,1.44,171.77,-0.42,1.74,177.67,-1.34,19.67,187.15,-1.50,9.42,209.27
69,2.300,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.09,130.96,-0.07,0.58,149.37,18.10,3.42,166.51,25.19,15.41,138.19,6.28,33.76,153.14,-18.62,0.35,165.94,-26.24,4.58,135.61,-12.37,29.00,146.96,-0.28,1.53,171.77,-0.43,1.84,177.67,-1.37,19.80,187.09,-1.53,9.62,209.24
70,2.333,-12.77,-0.14,113.91,12.77,-0.13,113.92,-0.01,0.10,130.96,-0.07,0.60,149.36,18.08,3.66,166.51,24.60,15.24,137.89,4.52,32.92,152.12,-18.62,0.26,165.95,-26.25,4.27,135.60,-12.29,28.77,146.68,-0.29,1.59,171.77,-0.43,1.91,177.66,-1.40,19.90,187.04,-1.55,9.77,209.22
